ééå±âÒêî,éûä‘[sec],à⁄ìÆó [mm],â◊èd[N]
1,41.36,6.97992996219546,0.116229057312012
1,41.48,6.99992976151407,0.11146068572998
1,41.6,7.01992956083268,0.112652778625488
1,41.72,7.03992936015129,0.112652778625488
1,41.83,7.0599291594699,0.112652778625488
1,41.95,7.07992895878852,0.116825103759766
1,42.07,7.09992875810713,0.115633010864258
1,42.19,7.11992855742574,0.109672546386719
1,42.31,7.13992835674435,0.119805335998535
1,42.42,7.15992815606296,0.115036964416504
1,42.54,7.17992795538157,0.11742115020752
1,42.66,7.19992775470018,0.113248825073242
1,42.78,7.2199275540188,0.119209289550781
1,42.9,7.23992735333741,0.106692314147949
1,43.01,7.25992715265602,0.11146068572998
1,43.13,7.27992695197463,0.116229057312012
1,43.25,7.29992675129324,0.118017196655273
1,43.37,7.31992655061185,0.116825103759766
1,43.49,7.33992634993047,0.115036964416504
1,43.6,7.35992614924908,0.126361846923828
1,43.72,7.37992594856769,0.118017196655273
1,43.84,7.3999257478863,0.115633010864258
1,43.95,7.41992554720491,0.116229057312012
1,44.07,7.43992534652352,0.120997428894043
1,44.19,7.45992514584214,0.12516975402832
1,44.31,7.47992494516075,0.116229057312012
1,44.43,7.49992474447936,0.124573707580566
1,44.54,7.51992454379797,0.120997428894043
1,44.66,7.53992434311658,0.113844871520996
1,44.78,7.55992414243519,0.110864639282227
1,44.9,7.5799239417538,0.119209289550781
1,45.01,7.59992374107242,0.118613243103027
1,45.13,7.61992354039103,0.122189521789551
1,45.25,7.63992333970964,0.126361846923828
1,45.37,7.65992313902825,0.127553939819336
1,45.49,7.67992293834686,0.122785568237305
1,45.6,7.69992273766547,3.75509262084961E-02
1,45.72,7.71992253698409,-1.60932540893555E-02
1,45.84,7.7399223363027,-1.37090682983398E-02
1,45.96,7.75992213562131,-1.43051147460938E-02
1,46.08,7.77992193493992,-1.96695327758789E-02
1,46.19,7.79992173425853,-1.72853469848633E-02
1,46.31,7.81992153357715,-2.08616256713867E-02
1,46.43,7.83992133289576,-2.08616256713867E-02
1,46.55,7.85992113221437,-2.38418579101563E-02
1,46.67,7.87992093153298,-1.54972076416016E-02
1,46.78,7.89992073085159,-2.44379043579102E-02
1,46.9,7.9199205301702,-1.72853469848633E-02
1,47.02,7.93992032948881,-2.26497650146484E-02
1,47.14,7.95992012880743,-1.78813934326172E-02
1,47.25,7.97991992812604,-1.43051147460938E-02
1,47.37,7.99991972744465,-2.14576721191406E-02
1,47.49,8.01991952676326,-1.78813934326172E-02
1,47.61,8.03991932608187,-2.74181365966797E-02
1,47.73,8.05991912540048,-1.66893005371094E-02
1,47.84,8.0799189247191,-1.43051147460938E-02
1,47.96,8.09991872403771,-1.78813934326172E-02
1,48.08,8.11991852335632,-1.84774398803711E-02
1,48.2,8.13991832267493,-1.84774398803711E-02
1,48.31,8.15991812199354,-0.025629997253418
1,48.43,8.17991792131215,-2.80141830444336E-02
1,48.55,8.19991772063077,-2.44379043579102E-02
1,48.67,8.21991751994938,-2.92062759399414E-02
1,48.79,8.23991731926799,-2.38418579101563E-02
1,48.9,8.2599171185866,-2.08616256713867E-02
1,49.02,8.27991691790521,-2.14576721191406E-02
1,49.14,8.29991671722382,-2.50339508056641E-02
1,49.26,8.31991651654244,-1.19209289550781E-02
1,49.38,8.33991631586105,-2.38418579101563E-02
1,49.49,8.35991611517966,-1.96695327758789E-02
1,49.61,8.37991591449827,-2.02655792236328E-02
1,49.73,8.39991571381688,-1.72853469848633E-02
1,49.85,8.41991551313549,-1.43051147460938E-02
